produto,sku,quantidade_vendida,faturamento_total,custo_total
Motor de Popa 1949,LHN-132290,754,791330.5399999999,460075.71999999956
Cabo Náutico 6511,LHN-186798,756,203983.9200000001,147813.12
Colete Salva-Vidas 7001,LHN-551848,669,1089673.8900000008,712204.0199999996
Vela Mestra 5825,LHN-543582,823,863261.1599999998,542933.1
Bateria Náutica 2569,LHN-761270,690,1490931.3,709968.6000000002
Bateria Náutica 2400,LHN-569640,670,1990529.7999999977,1300999.3000000003
Sonar Transducer 594,LHN-306120,681,745429.4099999993,462998.2800000003
Bússola de Bordo 9956,LHN-445446,521,733880.6000000001,349465.96
Tinta Antifouling 9136,LHN-347725,607,1381786.9400000006,677345.2300000003
Vela Mestra 7039,LHN-937442,623,643334.7200000006,357408.87000000046
Tinta Antifouling 874,LHN-016677,740,1713470.0,1215228.0
Defensa Náutica 9695,LHN-887002,735,369925.4999999998,203256.89999999985
Colete Salva-Vidas 8612,LHN-542984,534,1878029.9399999997,881703.4200000012
Defensa Náutica 6926,LHN-026498,673,429050.95999999996,204309.34000000003
Colete Salva-Vidas 3456,LHN-250832,855,2313860.8500000015,1641035.7
Hélice de Alumínio 7117,LHN-918092,704,1133320.3199999994,678634.8799999994
GPS Plotter 3107,LHN-799545,659,494974.89999999985,311305.0100000004
GPS Plotter 3591,LHN-721969,657,1070489.5199999993,502578.7200000001
Tinta Antifouling 6853,LHN-998857,583,860927.7599999993,453119.2599999998
Vela Mestra 1741,LHN-704061,572,1564053.9199999995,827541.0
Bússola de Bordo 7257,LHN-273985,671,68274.25,52519.17000000001
Bússola de Bordo 4473,LHN-486654,648,98035.92000000001,59415.11999999998
Motor de Popa 9201,LHN-189707,656,328957.7600000002,192372.0
Âncora Bruce 7309,LHN-929459,690,1657538.699999999,824646.6000000008
Tinta Antifouling 866,LHN-951480,780,1145921.4000000015,734565.0
Motor de Popa 1923,LHN-945034,653,2327363.8299999987,1199672.0099999995
Hélice de Alumínio 8067,LHN-584100,721,1208532.9899999988,706745.8299999994
Defensa Náutica 1277,LHN-729636,568,1443350.479999999,771843.8400000011
Âncora Bruce 4980,LHN-583535,596,1200171.1600000001,789586.7599999999
Vela Mestra 5566,LHN-916696,765,1639012.5,1251157.5
Cabo Náutico 5921,LHN-075781,736,1540138.8799999997,1175679.0400000012
Cabo Náutico 8945,LHN-518409,674,2247405.820000001,1096294.7000000002
Defensa Náutica 656,LHN-968433,675,296952.74999999965,173657.24999999997
Vela Mestra 4634,LHN-423180,703,1652260.8999999987,1045733.5900000008
Motor de Popa 5440,LHN-556664,717,1727238.659999999,1270029.270000001
Defensa Náutica 417,LHN-025411,793,2187252.600000001,1208428.9099999985
Hélice de Alumínio 9713,LHN-818024,782,1000045.0600000004,515486.58000000095
Hélice de Alumínio 6668,LHN-162247,683,1445064.0800000017,756579.5899999996
Vela Mestra 7039,LHN-119653,616,88513.04000000002,65567.03999999996
Cabo Náutico 7064,LHN-951102,602,830994.7800000007,506703.40000000014
Genérico,LHN-660602,659,387795.14000000025,298302.9400000003
Vela Mestra 6861,LHN-837338,633,1945614.12,1008090.4800000007
Vela Mestra 1577,LHN-016397,810,2474647.2000000016,1140390.9
Defensa Náutica 3153,LHN-116117,719,1382917.4100000006,1047662.0899999993
Hélice de Alumínio 9928,LHN-368112,697,2477535.2899999996,1368803.4500000002
Bússola de Bordo 1762,LHN-180163,652,1909421.1200000024,1060790.9599999993
Tinta Antifouling 9500,LHN-630683,655,1997160.5000000005,1264025.5500000014
Defensa Náutica 792,LHN-443458,705,1008523.6500000012,715264.7999999999
Colete Salva-Vidas 1933,LHN-668518,539,563583.7899999997,327663.4900000001
João da Silva,LHN-661051,518,134213.80000000002,83884.92000000003
Bússola de Bordo 3641,LHN-139240,705,1296325.8000000017,785652.0000000001
Bússola de Bordo 5407,LHN-380607,634,1250476.2399999998,718664.3600000002
Bateria Náutica 5770,LHN-063004,613,1605489.9100000001,1225564.7699999996
Sonar Transducer 9061,LHN-810696,723,1267151.490000001,898689.0
Sonar Transducer 1690,LHN-568908,787,684312.2400000008,318286.40999999957
Bússola de Bordo 3611,LHN-381331,707,225709.75,142856.4199999999
Sonar Transducer 5470,LHN-684856,671,491071.35,233843.5
GPS Plotter 9135,LHN-492596,699,1053099.4199999997,706779.8700000009
Tinta Antifouling 5976,LHN-228257,697,1922848.75,1201781.339999999
Colete Salva-Vidas 3456,LHN-020586,611,1596457.4599999997,1209437.8399999994
GPS Plotter 1842,LHN-371965,684,1539622.44,1123812.0
Defensa Náutica 9513,LHN-058147,668,1148712.8400000008,786790.4399999998
Tinta Antifouling 5865,LHN-315245,763,1524405.3300000003,1016270.2199999995
Defensa Náutica 2783,LHN-761774,742,1375757.039999999,828769.4799999997
GPS Plotter 9763,LHN-414152,756,185991.12,114103.07999999996
Tinta Antifouling 4321,LHN-847740,705,1068780.0,511378.7999999996
Defensa Náutica 3209,LHN-292842,658,1599242.6799999992,1175911.8000000003
Motor de Popa 6647,LHN-984957,682,67374.78000000004,49179.02000000001
Genérico,LHN-866273,609,313896.86999999965,174387.14999999997
Motor de Popa 6647,LHN-693851,738,40095.54000000005,20250.719999999998
GPS Plotter 1152,LHN-508411,612,1423389.5999999994,873244.4399999987
Hélice de Alumínio 5003,LHN-632518,671,1049504.3900000008,516998.78999999975
Colete Salva-Vidas 8800,LHN-639640,818,550350.3999999999,288140.5
Bússola de Bordo 1854,LHN-771162,622,1627475.4400000009,1023569.4199999995
Vela Mestra 8049,LHN-581685,549,395669.7899999999,304360.1099999999
Cabo Náutico 6564,LHN-381336,794,1833512.74,1097911.4400000006
Cabo Náutico 3697,LHN-435746,703,2683182.280000002,1265653.0799999996
Cabo Náutico 9307,LHN-454719,647,550396.4300000005,371889.13
Bateria Náutica 2254,LHN-760445,682,1900972.7000000002,1118220.8399999994
Vela Mestra 1913,LHN-947646,684,278087.0399999997,198633.59999999998
Sonar Transducer 6595,LHN-556782,811,2427744.7200000025,1118774.5
Motor de Popa 1606,LHN-840831,759,1254778.7999999993,583617.8699999999
GPS Plotter 4446,LHN-485526,726,665045.0399999997,405514.55999999924
Âncora Bruce 9527,LHN-035116,716,1119587.72,592375.4400000001
Bateria Náutica 3506,LHN-410602,725,516105.74999999965,360912.2499999995
Bússola de Bordo 4059,LHN-844633,724,727446.2400000002,555300.7599999997
Vela Mestra 7242,LHN-448212,733,1433931.25,931122.5700000001
Sonar Transducer 3481,LHN-870744,668,1156067.520000001,592856.6800000002
Sonar Transducer 7487,LHN-581875,667,258769.31999999992,197532.05000000002
Tinta Antifouling 901,LHN-561045,771,424057.7100000001,219719.57999999993
Bateria Náutica 6577,LHN-438034,602,860619.2,391191.6400000003
GPS Plotter 7173,LHN-861308,661,996940.0299999998,766878.9799999999
Defensa Náutica 5036,LHN-010900,575,1489583.4999999995,716145.2499999991
GPS Plotter 3183,LHN-583542,703,1392910.1400000004,849336.4799999993
GPS Plotter 6316,LHN-694598,740,1285883.2,642941.6
Tinta Antifouling 3228,LHN-485571,657,2532268.5300000017,1200128.7600000002
Bateria Náutica 6898,LHN-614906,537,1194116.1600000004,755768.4300000006
Âncora Bruce 9985,LHN-392790,832,1787077.7600000005,1103132.1600000015
Defensa Náutica 3153,LHN-163046,726,521253.48000000004,361983.6
Âncora Bruce 831,LHN-843637,702,1406779.919999999,852593.0400000006
Cabo Náutico 8225,LHN-361341,597,813275.1900000009,502023.26999999984
Bateria Náutica 6370,LHN-996656,667,222504.52999999988,120273.44000000009
Cabo Náutico 5416,LHN-294684,746,774795.6,527071.3800000006
Bateria Náutica 5556,LHN-192859,694,1080363.679999999,554034.0800000002
Sonar Transducer 8538,LHN-784860,691,1027192.2300000004,469036.9800000004
Cabo Náutico 4851,LHN-044999,697,37902.85999999998,22833.72000000001
Sonar Transducer 4498,LHN-113846,742,403900.2799999999,305985.96000000014
Motor de Popa 684,LHN-112073,819,1522349.0100000012,704790.45
Motor de Popa 7932,LHN-676176,838,1775001.3200000012,934210.7799999998
Defensa Náutica 2949,LHN-284589,690,1587165.5999999973,886684.4999999999
Hélice de Alumínio 7846,LHN-364453,596,622146.5199999994,391285.92000000004
Colete Salva-Vidas 7201,LHN-696775,661,196171.5799999997,97114.1199999999
Colete Salva-Vidas 7959,LHN-291655,717,494199.42000000016,340825.94999999995
Defensa Náutica 497,LHN-958622,664,455185.27999999985,350140.48000000033
Motor de Popa 4350,LHN-019188,637,1302047.1100000008,930032.7400000005
Cabo Náutico 4571,LHN-750307,725,1951772.4999999993,1394124.2499999998
GPS Plotter 845,LHN-305434,699,388175.66999999987,273364.91999999987
Vela Mestra 6757,LHN-912214,661,89261.44000000006,60309.64000000004
GPS Plotter 6840,LHN-149847,763,817615.5400000003,454229.16000000027
Hélice de Alumínio 571,LHN-937943,700,2619596.0000000005,1386028.0
Hélice de Alumínio 3756,LHN-746991,769,2130437.5999999996,990902.6400000008
Bússola de Bordo 4361,LHN-466784,664,1129171.8400000005,719218.2399999999
asdf,LHN-023205,762,2744769.720000001,1338910.1999999997
Vela Mestra 1319,LHN-338726,677,148242.69000000018,74869.42999999993
GPS Pltoter 3205,LHN-954975,689,916507.8000000002,583762.1400000002
Bússola de Bordo 5772,LHN-720146,721,224937.57999999993,108142.78999999994
Bússola de Bordo 3152,LHN-766292,623,955401.65,723788.9400000004
Tinta Antifouling 901,LHN-617276,688,1996837.4399999983,1160951.8399999996
Tinta Antifouling 874,LHN-256375,614,946542.3999999998,461728.0
Defensa Náutica 3549,LHN-046155,613,542701.1600000004,262173.97000000015
Cabo Náutico 5117,LHN-403349,651,2562394.5899999994,1231919.8499999999
Sonar Transducer 2625,LHN-560155,631,1064396.0400000003,611722.9499999997
Bateria Náutica 8532,LHN-296374,778,838894.0600000006,594959.9400000002
Vela Mestra 9743,LHN-662817,683,1885360.0300000007,902085.9100000008
Âncora Bruce 2455,LHN-087764,620,777393.1999999996,407011.39999999985
Âncora Bruce 5388,LHN-217887,585,159506.10000000015,77430.60000000008
Defensa Náutica 8553,LHN-494029,675,1229309.9999999995,686765.25
Colete Salva-Vidas 8211,LHN-270917,734,1585359.26,890650.2800000003
Cabo Náutico 3217,LHN-542787,707,1590318.7300000004,819752.3599999998
Bússola de Bordo 3795,LHN-520276,585,320509.8,187434.0
Motor de Popa 9450,LHN-159194,674,985340.8199999996,490220.4199999999
Vela Mestra 1834,LHN-721129,731,299731.9299999996,188510.27999999997
Sonar Transducer 9933,LHN-597798,556,659243.6400000001,399541.60000000003
GPS Plotter 6840,LHN-759446,789,2904017.0699999966,1552949.25
Bateria Náutica 8789,LHN-027288,708,1741120.6799999983,972692.8799999994
Defensa Náutica 3209,LHN-408172,680,1816076.0000000002,1049756.8000000005
Colete Salva-Vidas 3881,LHN-630399,601,502604.2800000001,318103.28999999986
Bateria Náutica 834,LHN-201037,697,2135301.3200000017,1186280.0599999998
Hélice de Alumínio 5784,LHN-915171,772,554620.2400000001,320588.44000000006
GPS Plotter 8951,LHN-585213,672,202386.24000000008,102735.35999999999
Hélice de Alumínio 5784,LHN-982413,832,1222299.5199999998,563272.3200000002
Hélice de Alumínio 2428,LHN-517796,707,760088.6300000001,374427.19999999995
Motor de Popa 8515,LHN-913369,712,2286395.759999998,1048804.48
Bateria Náutica 5936,LHN-843270,676,2013939.2000000007,987223.6400000008
Vela Mestra 1913,LHN-479510,619,1613312.0799999996,1231537.640000001
Bússola de Bordo 5451,LHN-396779,773,881351.4099999998,652852.6100000003
Bússola de Bordo 755,LHN-737351,605,1865959.1499999987,982084.4000000012
Cabo Náutico 5921,LHN-886714,854,3209101.4199999943,1565416.1600000015
Bússola de Bordo 5407,LHN-528566,744,2178952.8000000017,1177811.5199999996
GPS Plotter 7169,LHN-333265,702,2138923.8,1137724.379999999
GPS Plotter 2098,LHN-711086,640,1535078.400000001,1009920.0
Vela Mestra 5689,LHN-237451,694,1602973.4400000023,1161575.5599999996
Cabo Náutico 4894,LHN-220347,782,968843.2599999995,523697.58000000106
Motor de Popa 684,LHN-615511,763,1115803.57,660239.1600000001
Âncora Bruce 6320,LHN-604553,711,1057889.790000001,581256.7200000002
Âncora Bruce 2417,LHN-219083,709,1163036.5100000005,553828.2600000004
GPS Plotter 5365,LHN-074615,638,177293.81999999992,128474.0600000001
Tinta Antifouling 9693,LHN-183735,739,2708671.4800000004,1368014.6300000001
Âncora Bruce 9236,LHN-399930,766,969801.9600000002,551022.1000000002
GPS Plotter 8413,LHN-742849,526,144308.09999999992,82934.41999999991
Bateria Náutica 9527,LHN-470781,697,408957.78,244883.97999999986
Vela Mestra 8056,LHN-513250,450,480505.4999999999,300316.4999999999
Sonar Transducer 6595,LHN-961992,716,1222283.6000000006,630044.1999999997
Defensa Náutica 792,LHN-476197,590,335668.6999999997,177601.79999999987
Vela Mestra 9995,LHN-781024,832,2329317.1199999996,1153127.0399999986
Vela Mestra 3870,LHN-869444,594,1253957.7599999998,883070.1000000002
GPS Plotter 7150,LHN-375294,642,1094333.9399999997,604603.5
GPS Plotter 3107,LHN-727978,609,39274.40999999999,21698.670000000002
Hélice de Alumínio 3700,LHN-822020,726,2487914.879999997,1429835.2199999988
Sonar Transducer 9061,LHN-881098,739,333178.1499999999,246796.44000000006
Vela Mestra 7171,LHN-160223,677,674894.5300000004,334106.27
Sonar Transducer 3832,LHN-872810,726,398915.22000000003,206692.20000000007
Cabo Náutico 394,LHN-545542,722,2110030.56,1318769.1000000006
Bateria Náutica 4683,LHN-182662,635,429901.3500000004,200888.59999999998
Defensa Náutica 6926,LHN-281319,704,927252.4799999985,572380.1600000001
Defensa Náutica 2623,LHN-588613,735,3034131.4499999983,1424474.1000000015
Hélice de Alumínio 5003,LHN-518595,649,795271.620000001,576286.04
Tinta Antifouling 3290,LHN-579567,631,941262.7000000002,468290.34000000026
Sonar Transducer 4571,LHN-566787,611,1436473.2200000007,875899.0499999999
Sonar Transducer 6909,LHN-084998,660,2329140.0,1213093.2000000007
Âncora Bruce 7571,LHN-573243,616,364025.20000000007,254562.0
Colete Salva-Vidas 8571,LHN-999204,709,1010431.3500000001,777255.4300000005
Cabo Náutico 8945,LHN-932798,676,551392.92,268973.6400000002
Hélice de Alumínio 4633,LHN-969942,638,1909680.7399999995,979323.6199999999
Vela Mestra 8489,LHN-816734,699,1117358.4900000012,529555.4099999999
Hélice de Alumínio 8208,LHN-601702,751,282871.6600000001,189845.28999999986
Bateria Náutica 1945,LHN-174868,733,1746467.7899999993,900241.2799999997
Colete Salva-Vidas 4674,LHN-902059,667,1794550.1599999995,1246216.1300000004
Sonar Transducer 869,LHN-931901,600,1968672.0000000007,937463.9999999998
Vela Mestra 5825,LHN-959770,670,418173.8000000005,203988.20000000004
Hélice de Alumínio 9928,LHN-115271,577,601459.0300000006,388038.2700000002
Bateria Náutica 6163,LHN-437165,581,1233945.2299999997,659864.9399999996
Âncora Bruce 7053,LHN-449939,640,1601055.999999999,741228.8000000004
Bateria Náutica 5487,LHN-353962,732,868283.7599999995,466818.36000000016
Âncora Bruce 7031,LHN-965938,669,1325315.7600000005,619306.6799999995
Colete Salva-Vidas 7573,LHN-609811,703,2228959.919999998,1017789.3400000015
Bateria Náutica 1945,LHN-791661,827,2484473.4000000004,1613295.060000002
Colete Salva-Vidas 3392,LHN-169951,774,1094861.7000000002,526374.1800000002
Cabo Náutico 9796,LHN-419128,568,1157606.7200000004,776916.0800000007
Bateria Náutica 5090,LHN-242043,715,1315235.3499999985,674480.95
Colete Salva-Vidas 4753,LHN-958088,604,536345.9599999997,277900.39999999997
Tinta Antifouling 5779,LHN-427636,582,1022713.6799999992,725329.1400000001
Tinta Antifouling 5779,LHN-392486,685,1629573.8999999978,848735.5500000012
Hélice de Alumínio 290,LHN-061470,690,2063507.0999999999,946562.7000000002
Cabo Náutico 6215,LHN-935624,641,1051124.6199999996,525562.3099999998
Bateria Náutica 5611,LHN-682884,626,538635.4400000005,260209.42
Sonar Transducer 9995,LHN-868053,649,151807.59000000017,100536.59000000004
Tinta Antifouling 3620,LHN-529896,588,2041053.8400000012,1115330.1599999992
Genérico,LHN-885258,714,2076604.7400000007,1357256.8800000001
Âncora Bruce 3286,LHN-233989,654,1309314.5400000012,689113.2600000002
Vela Mestra 5034,LHN-692364,636,1673862.9599999997,760846.8000000004
Vela Mestra 8056,LHN-404411,612,154952.2800000001,115637.4
Sonar Transducer 1176,LHN-568743,696,811229.7599999998,466222.55999999924
Sonar Transducer 8490,LHN-926760,610,1286160.6000000006,598214.7999999997
Âncora Bruce 3597,LHN-611667,707,534103.1499999999,269748.77999999997
Vela Mestra 2410,LHN-475654,663,1822520.7000000004,969425.34
Motor de Popa 2640,LHN-462189,597,962489.3700000005,569520.0899999996
Sonar Transducer 8490,LHN-028460,544,1687602.2399999986,799810.5599999992
Bússola de Bordo 702,LHN-795790,776,958460.8800000019,481639.9200000004
Bússola de Bordo 8959,LHN-315705,761,2057926.639999996,1239714.6600000006
Bússola de Bordo 1900,LHN-940850,709,733815.0,447449.9000000001
Cabo Náutico 5724,LHN-102830,697,1623229.3599999987,1111798.6399999987
Bateria Náutica 9124,LHN-973753,589,1151459.6599999992,852930.8999999999
Tinta Antifouling 5865,LHN-940190,737,2395286.85,1146071.8499999999
Hélice de Alumínio 9713,LHN-237052,679,2093811.9300000002,1031434.9499999998
Bateria Náutica 834,LHN-042718,634,168371.38000000027,114538.44000000015
Motor de Popa 2175,LHN-100901,702,1833329.1600000004,1047615.66
Bateria Náutica 1945,LHN-039200,786,41320.01999999994,23084.820000000007
Tinta Antifouling 3067,LHN-354919,675,329305.49999999965,179948.24999999988
Tinta Antifouling 6054,LHN-771654,785,1968834.9499999986,1041710.7000000004
Tinta Antifouling 6853,LHN-725276,704,1831582.7200000007,1028980.4799999984
Motor de Popa 8515,LHN-129395,728,836333.6799999999,643333.5999999999
Cabo Náutico 9307,LHN-392733,856,2196050.8799999985,1483816.0800000003
GPS Plotter 7720,LHN-210485,627,1451511.2700000012,895995.5400000006
GPS Plotter 2111,LHN-247083,640,1778111.9999999995,998937.6000000003
Hélice de Alumínio 549,LHN-301594,726,2503095.540000003,1221023.0999999996
Sonar Transducer 7487,LHN-185115,523,1132185.1700000002,599038.9700000004
Âncora Bruce 7053,LHN-387803,689,1740641.3699999994,1108690.5700000015
Motor de Popa 7678,LHN-037844,733,303945.78000000026,191159.0699999999
GPS Plotter 4088,LHN-655066,676,2788554.0800000015,1285048.9599999995
Bússola de Bordo 3641,LHN-673210,542,604286.6399999999,349297.31999999983
Defensa Náutica 1161,LHN-224847,670,1081962.8999999987,644024.1
Cabo Náutico 6564,LHN-131621,673,291106.15,203569.04000000004
Âncora Bruce 4405,LHN-215053,712,1551106.24,1062403.6800000002
Colete Salva-Vidas 9810,LHN-191329,745,2054143.799999996,1275864.6500000001
Colete Salva-Vidas 4753,LHN-453992,646,1424998.4800000007,814283.0
Defensa Náutica 3549,LHN-480793,613,962177.0599999985,469355.7100000001
Bússola de Bordo 5407,LHN-100755,631,1445898.6399999992,892530.5699999996
GPS Plotter 3183,LHN-485834,585,863933.8500000004,438545.24999999994
Motor de Popa 8491,LHN-397581,756,551766.5999999999,408716.2800000003
Bússola de Bordo 2683,LHN-761757,632,1692009.359999999,813466.1600000011
Âncora Bruce 1018,LHN-560570,704,73180.79999999994,41113.600000000035
Colete Salva-Vidas 502,LHN-368776,590,105362.20000000011,60551.699999999975
Bateria Náutica 948,LHN-224382,641,659082.6100000002,488211.2400000006
Motor de Popa 6014,LHN-353137,613,1503498.9699999983,864078.6700000004
GPS Plotter 5365,LHN-576997,608,1863915.2,1116117.7599999993
Tinta Antifouling 5779,LHN-871349,670,598691.9,297855.1999999998
Âncora Bruce 1231,LHN-242413,702,843010.7399999987,415275.11999999936
Âncora Bruce 831,LHN-698979,762,1778850.9000000004,941191.9199999993
Motor de Popa 7678,LHN-825451,797,422314.36000000004,255948.5800000002
Defensa Náutica 2321,LHN-296616,711,44572.59000000001,25325.820000000014
Motor de Popa 1540,LHN-610716,653,1356052.45,674653.48
Hélice de Alumínio 7225,LHN-390007,663,1695609.2400000002,1053175.5
Hélice de Alumínio 1281,LHN-258023,735,1071762.2999999998,754764.1500000005
Sonar Transducer 5950,LHN-912435,763,1315625.6400000015,611918.3699999988
Motor de Popa 4710,LHN-968944,630,1390542.3,832658.3999999999
Âncora Bruce 7525,LHN-537386,803,1988838.2800000035,984574.3599999982
Bateria Náutica 5523,LHN-730053,795,2236017.0000000005,1500681.7499999998
Vela Mestra 6445,LHN-231402,709,584613.0399999995,301346.2699999997
Motor de Popa 684,LHN-134362,714,1535064.3000000003,1066016.2800000005
Âncora Bruce 2687,LHN-232031,815,667281.25,353057.99999999994
Colete Salva-Vidas 1890,LHN-616600,686,1907512.1799999992,908339.4599999991
Defensa Náutica 9426,LHN-069027,609,560688.0300000003,264476.5199999996
Âncora Bruce 5302,LHN-825943,707,1682483.25,909449.4499999997
Tinta Antifouling 569,LHN-810046,681,1842499.9799999993,1325539.2599999988
Âncora Bruce 7571,LHN-448842,662,1384619.3399999994,893302.7999999999
Hélice de Alumínio 3700,LHN-923338,673,1413737.450000001,642607.3200000003
Sonar Transducer 6909,LHN-261552,731,1763712.939999997,1183700.9900000007
Bússola de Bordo 3611,LHN-811838,743,1284713.8699999999,850801.8700000006
GPS Plotter 8413,LHN-509603,501,162073.5,79448.58000000006
Defensa Náutica 7487,LHN-660514,655,475169.74999999994,230664.80000000025
Bateria Náutica 5523,LHN-067210,636,2768845.080000001,1270111.08
Cabo Náutico 5921,LHN-041332,613,1440923.9299999997,1007637.1400000013
Colete Salva-Vidas 3881,LHN-252094,732,2405220.24,1129212.4800000002
Bússola de Bordo 1900,LHN-412438,699,1277052.0299999989,851368.0199999996
Tinta Antifouling 9285,LHN-744271,653,1625858.9899999998,817014.0100000004
Colete Salva-Vidas 3398,LHN-424788,840,3272715.5999999996,1581022.7999999998
Âncora Bruce 6850,LHN-907998,733,1353851.0,747982.5199999998
Motor de Popa 4415,LHN-095344,613,902697.6700000003,649424.4600000002
Cabo Náutico 5471,LHN-568799,744,488763.36000000086,364746.0
Âncora Bruce 4975,LHN-920996,802,2217562.08,1478374.7200000002
Sonar Transducer 594,LHN-884225,633,2363913.1799999983,1218512.339999999
Bateria Náutica 2738,LHN-905808,750,1374105.000000001,715679.9999999995
Caboo Náutico 4942,LHN-199903,620,1309687.9999999993,803488.9999999999
Tinta Antifouling 5097,LHN-721988,664,2084296.0,1204794.8
Bateria Náutica 9984,LHN-149020,611,2142795.3300000015,1121881.5400000005
GPS Plotter 2659,LHN-913107,711,807233.8499999999,378984.33000000013
Âncora Bruce 7665,LHN-507774,593,1440284.3300000015,809148.5
Tinta Antifouling 5225,LHN-715137,583,62812.42000000005,30490.900000000005
Colete Salva-Vidas 9616,LHN-989289,638,612665.0200000003,324161.42000000004
Âncora Bruce 4975,LHN-504176,657,502210.7999999999,268561.88999999996
Bússola de Bordo 180,LHN-854199,672,656550.72,388489.9199999995
GPS Plotter 6626,LHN-920389,639,1134876.7800000005,671525.1
Tinta Antifouling 3228,LHN-156424,589,1027728.4299999987,561599.72
Hélice de Alumínio 1674,LHN-488524,619,693137.6300000006,417552.6399999995
Defensa Náutica 3209,LHN-721865,649,1637394.5500000005,992359.9400000008
Motor de Popa 8838,LHN-587206,635,1519586.7499999998,763612.8999999998
Bússola de Bordo 994,LHN-233987,642,1062952.979999999,636498.0599999997
Hélice de Alumínio 314,LHN-934721,779,299058.1000000001,206248.0399999999
Defensa Náutica 497,LHN-973275,603,1204980.9300000016,640946.7899999999
Âncora Bruce 7031,LHN-510659,739,2092936.6800000016,1453428.25
Cabo Náutico 9048,LHN-021213,764,2787507.479999999,1429489.8400000015
Bússola de Bordo 994,LHN-953756,528,1422558.7199999986,1030840.8
Hélice de Alumínio 9811,LHN-559862,633,1990025.4000000004,1015319.3399999995
Cabo Náutico 394,LHN-455459,767,1004716.31,598045.2399999995
Vela Mestra 7122,LHN-556102,780,2237695.200000001,1316288.9999999998
Sonar Transducer 2625,LHN-237835,773,2171465.220000001,1262479.0599999991
Tinta Antifouling 3953,LHN-094597,740,2253603.4,1417359.0
GPS Plotter 2111,LHN-575869,776,2303136.959999999,1286670.0799999998
Sonar Transducer 2625,LHN-629884,625,739931.2500000001,496599.9999999993
Tinta Antifouling 8834,LHN-099402,721,1620743.1100000013,976349.3599999993
Defensa Náutica 2783,LHN-537793,735,195737.85000000006,109963.3500000002
Colete Salva-Vidas 9810,LHN-453118,638,1076446.3599999992,685633.08
